Maker,Model,Number of Cylinders,Engine Type,Engine Horse Power,Engine Horse Power RPM,Transmission,Mixed Fuel Consumption per Km,Fuel Tank Capacity,Acceleration 0 to 100 Km,Max Speed Km per Hour,Fuel Grade (in Octane),Year,Type of Car
Citroen,C3,3.0,Petrol,81 kW,5500.0,Automatic,4.9 L,45 L,9.9 s,194,95.0,2020,Hatchback
Citroen,C4,3.0,Petrol,96 kW,5500.0,Automatic,5.6 L,50 L,9.4 s,205,95.0,2020,Hatchback
Citroen,C5 Aircross,4.0,Petrol,133 kW,5500.0,Automatic,7.9 L,53 L,8.2 s,209,95.0,2020,SUV
Citroen,e-C3,,Electric,50 kW,,Automatic,0.14 kWh,22 kWh,15.9 s,150,,2020,Hatchback
Citroen,e-C4,,Electric,100 kW,,Automatic,0.17 kWh,50 kWh,9.7 s,150,,2020,Hatchback
Citroen,C5 X,4.0,Hybrid,165 kW,,Automatic,1.7 L,43 L,8.7 s,225,95.0,2021,Liftback
Daihatsu,Ayla,3.0,Dual Variable Valve Timing-intelligent,66,6000.0,4-speed automatic,5.4 L/100 km,33 L,14.6 s,165,91.0,2021,Hatchback
Daihatsu,Sigra,4.0,Dual Variable Valve Timing-intelligent,88,6000.0,4-speed automatic,6.2 L/100 km,36 L,13.6 s,160,91.0,2021,MPV
Daihatsu,Terios,4.0,Dual Variable Valve Timing-intelligent,103,6000.0,4-speed automatic,8.4 L/100 km,45 L,13.9 s,170,91.0,2021,SUV
Daihatsu,Xenia,4.0,Dual Variable Valve Timing-intelligent,88,6000.0,4-speed automatic,6.2 L/100 km,36 L,13.6 s,160,91.0,2021,MPV
Daihatsu,Rocky,3.0,Turbocharged Gasoline Direct Injection,98,6000.0,Continuously Variable Transmission,5.4 L/100 km,36 L,11.4 s,175,95.0,2021,SUV
Daihatsu,Thor,3.0,Turbocharged Gasoline Direct Injection,98,6000.0,Continuously Variable Transmission,5.4 L/100 km,36 L,11.4 s,175,95.0,2021,MPV
Daihatsu,Tanto,3.0,Turbocharged Gasoline Direct Injection,64,6400.0,Continuously Variable Transmission,4.5 L/100 km,30 L,13.5 s,140,91.0,2021,Hatchback
Daihatsu,Hijet,,Battery Electric,49,,1-speed direct drive,,10.8 kWh,15.5 s,100,,2021,Van
Daihatsu,Waku Waku,3.0,Turbocharged Gasoline Direct Injection,64,6400.0,Continuously Variable Transmission,4.5 L/100 km,30 L,13.5 s,140,91.0,2021,Hatchback
DFSK,Glory 580,4.0,Turbocharged Gasoline Direct Injection,150,5600.0,6-speed automatic,8.3 L/100 km,58 L,11.8 s,175,95.0,2021,SUV
DFSK,Glory 580 Hybrid,4.0,Turbocharged Gasoline Direct Injection,190,5600.0,6-speed automatic,5.9 L/100 km,58 L,10.6 s,180,95.0,2021,SUV
DFSK,F5,4.0,Turbocharged Gasoline Direct Injection,150,5600.0,6-speed automatic,7.9 L/100 km,50 L,12.5 s,180,95.0,2021,SUV
DFSK,F5 Hybrid,4.0,Turbocharged Gasoline Direct Injection,190,5600.0,6-speed automatic,6.2 L/100 km,50 L,11.2 s,185,95.0,2021,SUV
DFSK,Seres 3,,Battery Electric,163,,1-speed direct drive,,53.6 kWh,8.5 s,155,,2021,SUV
DFSK,Seres 5,,Battery Electric,218,,1-speed direct drive,,72 kWh,7.9 s,160,,2021,SUV
Ford,Fiesta,4.0,Turbocharged Gasoline Direct Injection,224,5000.0,7-speed dual clutch,6.2 L/100 km,50 L,6.2 s,250,95.0,2021,Hatchback
Ford,Fiesta Hybrid,4.0,Turbocharged Gasoline Direct Injection,224,5000.0,8-speed dual clutch,1.9 L/100 km,36 L,6.7 s,235,95.0,2021,Hatchback
Ford,Kuga,4.0,Turbocharged Gasoline Direct Injection,258,5000.0,8-speed automatic,6.4 L/100 km,59 L,5.8 s,250,95.0,2021,SUV
Ford,Kuga Hybrid,4.0,Turbocharged Gasoline Direct Injection,292,5000.0,8-speed automatic,1.7 L/100 km,40 L,5.9 s,230,95.0,2021,SUV
Ford,Mustang Mach-E,,Battery Electric,351,,1-speed direct drive,,88 kWh,5.1 s,200,,2021,SUV
Honda,Accord,4,Turbocharged Gasoline Direct Injection,192,5500,Continuously Variable Transmission,7.6 L/100 km,56 L,7.6 s,209,87,2021,Sedan
Honda,Civic,4,Turbocharged Gasoline Direct Injection,180,6000,Continuously Variable Transmission,7.4 L/100 km,47 L,6.8 s,210,87,2021,Sedan
Honda,CR-V,4,Turbocharged Gasoline Direct Injection,190,5600,Continuously Variable Transmission,8.7 L/100 km,53 L,7.5 s,210,87,2021,SUV
Honda,Fit/Jazz,4,Gasoline Direct Injection,109,6000,Continuously Variable Transmission,5.6 L/100 km,40 L,9.4 s,175,87,2021,Hatchback
Honda,HR-V,4,Gasoline Direct Injection,141,6500,Continuously Variable Transmission,7.7 L/100 km,50 L,8.6 s,188,87,2021,SUV
Honda,Insight,4,Gasoline Direct Injection,151,6000,Continuously Variable Transmission,4.9 L/100 km,43 L,7.7 s,209,87,2021,Sedan
Honda,Odyssey,6,Gasoline Direct Injection,280,6000,10-speed automatic,11.2 L/100 km,73 L,7.6 s,180,87,2021,Minivan
Honda,Passport,6,Gasoline Direct Injection,280,6000,9-speed automatic,11.3 L/100 km,74 L,6.2 s,180,87,2021,SUV
Honda,Pilot,6,Gasoline Direct Injection,280,6000,9-speed automatic,11.3 L/100 km,73 L,6.2 s,180,87,2021,SUV
Honda,Ridgeline,6,Gasoline Direct Injection,280,6000,9-speed automatic,11.4 L/100 km,73 L,6.4 s,180,87,2021,Pickup
Honda,Clarity,4,Gasoline Direct Injection,212,5500,Continuously Variable Transmission,5.6 L/100 km,26 L,8.1 s,165,87,2021,Sedan
Hyundai,Bayon,3,Turbocharged Gasoline Direct Injection,120,6000,7-speed dual clutch,5.3 L/100 km,50 L,10.4 s,185,95,2021,SUV
Hyundai,i10,3,Multi Point Injection,67,5500,5-speed manual,5.1 L/100 km,40 L,14.6 s,156,91,2020,Hatchback
Hyundai,i20,4,Turbocharged Gasoline Direct Injection,204,6000,6-speed manual,6.2 L/100 km,50 L,6.7 s,230,95,2021,Hatchback
Hyundai,i30,4,Turbocharged Gasoline Direct Injection,280,6000,8-speed dual clutch,7.5 L/100 km,50 L,5.4 s,250,95,2021,Hatchback
Hyundai,Ioniq,4,Gasoline Direct Injection,105,5700,6-speed dual clutch,3.4 L/100 km,45 L,10.8 s,185,91,2021,Hatchback
Hyundai,Kona,4,Turbocharged Gasoline Direct Injection,177,5500,7-speed dual clutch,6.7 L/100 km,50 L,7.7 s,210,95,2021,SUV
Hyundai,Santa Fe,4,Turbocharged Gasoline Direct Injection,180,5500,8-speed automatic,7.4 L/100 km,67 L,9.3 s,205,95,2021,SUV
Hyundai,Tucson,4,Turbocharged Gasoline Direct Injection,180,5500,8-speed automatic,7.6 L/100 km,59 L,9.5 s,201,95,2021,SUV
Isuzu,D-Max,4.0,Turbocharged Diesel,150,3400.0,6-speed automatic,7.6 L/100 km,80 L,12.9 s,180,95.0,2021,Pickup
Isuzu,MU-X,4.0,Turbocharged Diesel,150,3400.0,6-speed automatic,7.9 L/100 km,87 L,12.7 s,175,95.0,2021,SUV
Isuzu,REACH,,Battery Electric,49,,1-speed direct drive,,10.8 kWh,15.5 s,100,,2021,Van
Jaguar,E-Pace,4,Diesel/Petrol/Plug-in Hybrid,163-300,3500-5500,8-speed Automatic,1.4-7.9 L/100km,56-69 L,6.4-10.2 s,180-243 km/h,95,2021,SUV
Jaguar,F-Pace,4-8,Diesel/Petrol/Plug-in Hybrid,163-550,3500-6500,8-speed Automatic,1.8-11.7 L/100km,60-82 L,4.0-10.5 s,180-286 km/h,95-98,2021,SUV
Jaguar,I-Pace,,Electric,400,,1-speed Automatic,21.2 kWh/100km,90 kWh,4.8 s,200 km/h,,2021,SUV
Jaguar,F-Type,4-8,Petrol,300-575,5500-6500,8-speed Automatic,8.4-11.9 L/100km,63-70 L,3.7-5.7 s,250-300 km/h,95-98,2021,Coupe/Convertible
Jaguar,XE,4,Diesel/Petrol/Mild Hybrid,163-300,3500-5500,8-speed Automatic,4.8-7.9 L/100km,56-63 L,6.5-8.2 s,230-250 km/h,95,2021,Saloon
Jeep,Wrangler,4,Turbocharged Gasoline Direct Injection,272,5250,8-speed automatic,9.6 L/100 km,81 L,7.6 s,180,95,2021,SUV
Jeep,Wrangler 4xe,4,Turbocharged Gasoline Direct Injection,380,5250,8-speed automatic,3.5 L/100 km,57 L,6 s,199,95,2021,SUV
Jeep,Grand Cherokee 4xe,6,Turbocharged Gasoline Direct Injection,375,6000,8-speed automatic,4.3 L/100 km,59 L,6.2 s,209,95,2021,SUV
Kia,Niro,4.0,Gasoline Direct Injection,139.0,5700.0,6-speed dual clutch,4.5 L/100 km,45 L,11.5 s,162.0,91.0,2021,SUV
Kia,Niro EV,,Battery Electric,201.0,,1-speed direct drive,,64 kWh,7.8 s,167.0,,2021,SUV
Kia,Soul EV,,Battery Electric,201.0,,1-speed direct drive,,64 kWh,7.6 s,167.0,,2021,SUV
Kia,Sorento Hybrid,4.0,Turbocharged Gasoline Direct Injection,227.0,5500.0,6-speed automatic,6.7 L/100 km,67 L,8.7 s,193.0,95.0,2021,SUV
Kia,Sorento Plug-in Hybrid,4.0,Turbocharged Gasoline Direct Injection,261.0,6000.0,6-speed automatic,1.6 L/100 km,67 L,8.4 s,193.0,95.0,2021,SUV
Kia,EV6,,Battery Electric,577.0,,1-speed direct drive,,77.4 kWh,3.5 s,260.0,,2021,SUV
Kia,EV9,,Battery Electric,,,,,,,,,2021,MPV
Lexus,CT,4.0,Gasoline Direct Injection,136,5200.0,Continuously Variable Transmission,4.1 L/100 km,45 L,10.3 s,180,95.0,2021,Hatchback
Lexus,IS,4.0,Turbocharged Gasoline Direct Injection,245,5800.0,8-speed automatic,7.5 L/100 km,66 L,6.9 s,230,95.0,2021,Sedan
Lexus,ES,4.0,Gasoline Direct Injection,218,5700.0,Continuously Variable Transmission,4.7 L/100 km,50 L,8.9 s,180,95.0,2021,Sedan
Lexus,UX,4.0,Gasoline Direct Injection,184,6000.0,Continuously Variable Transmission,4.8 L/100 km,43 L,8.5 s,177,95.0,2021,SUV
Lexus,NX,4.0,Turbocharged Gasoline Direct Injection,238,4800.0,6-speed automatic,7.9 L/100 km,60 L,7.1 s,200,95.0,2021,SUV
Lexus,RX,6.0,Gasoline Direct Injection,313,6000.0,Continuously Variable Transmission,5.8 L/100 km,65 L,7.7 s,200,95.0,2021,SUV
Lexus,LC,8.0,Gasoline Direct Injection,477,7100.0,10-speed automatic,11.6 L/100 km,82 L,4.7 s,270,98.0,2021,Coupe
Lexus,LS,6.0,Turbocharged Gasoline Direct Injection,359,6000.0,10-speed automatic,9.5 L/100 km,82 L,5.4 s,250,95.0,2021,Sedan
Lexus,RZ,,Battery Electric,544,,1-speed direct drive,,90 kWh,5.5 s,200,,2022,SUV
Mahindra,e2o,,Battery Electric,25.4,,1-speed direct drive,,10 kWh,14.1 s,80,,2021,Hatchback
Mahindra,eVerito,,Battery Electric,41.0,,1-speed direct drive,,21.2 kWh,11.2 s,86,,2021,Sedan
Maxus,Euniq 5,,Electric,177,,1-speed Automatic,15.8 kWh/100km,52.5 kWh,9.8 s,150 km/h,,2021,MPV
Mazda,2,4.0,Gasoline Direct Injection,90,6000.0,6-speed manual,4.6 L/100 km,37 L,10.6 s,195,95.0,2021,Hatchback
Mazda,2 Hybrid,4.0,Gasoline Direct Injection,90,6000.0,6-speed manual,4.2 L/100 km,37 L,10.6 s,195,95.0,2021,Hatchback
Mazda,3,4.0,Gasoline Direct Injection,186,6000.0,6-speed automatic,7.4 L/100 km,51 L,7.5 s,210,87.0,2021,Sedan
Mazda,3 Hybrid,4.0,Gasoline Direct Injection,186,6000.0,6-speed automatic,6.4 L/100 km,51 L,7.5 s,210,87.0,2021,Sedan
Mazda,6,4.0,Turbocharged Gasoline Direct Injection,250,5000.0,6-speed automatic,9.1 L/100 km,62 L,6.4 s,230,93.0,2021,Sedan
Mazda,CX-3,4.0,Gasoline Direct Injection,148,6000.0,6-speed automatic,8.2 L/100 km,48 L,8.6 s,200,87.0,2021,SUV
Mazda,CX-30,4.0,Gasoline Direct Injection,186,6000.0,6-speed automatic,7.8 L/100 km,51 L,8.2 s,210,87.0,2021,SUV
Mazda,CX-30 Hybrid,4.0,Gasoline Direct Injection,186,6000.0,6-speed automatic,6.8 L/100 km,51 L,8.2 s,210,87.0,2021,SUV
Mazda,CX-5,4.0,Turbocharged Gasoline Direct Injection,250,5000.0,6-speed automatic,9.8 L/100 km,58 L,6.2 s,230,93.0,2021,SUV
Mazda,CX-9,4.0,Turbocharged Gasoline Direct Injection,250,5000.0,6-speed automatic,10.5 L/100 km,74 L,7.1 s,210,93.0,2021,SUV
Mazda,MX-5,4.0,Gasoline Direct Injection,181,7000.0,6-speed manual,7.1 L/100 km,45 L,6.1 s,220,91.0,2021,Convertible
Mazda,MX-30,,Battery Electric,143,,1-speed direct drive,,35.5 kWh,9.7 s,140,,2021,SUV
Mazda,MX-30 R-EV,4.0,Gasoline Direct Injection,143,6000.0,1-speed direct drive,6.6 L/100 km,30 L,9.7 s,140,87.0,2021,SUV
Mercedes-Benz,A-Class,4.0,Turbocharged Gasoline Direct Injection,224.0,5500.0,7-speed dual clutch,6.2 L/100 km,43 L,6.2 s,250.0,95.0,2021,Hatchback
Mercedes-Benz,A-Class Hybrid,4.0,Turbocharged Gasoline Direct Injection,218.0,5500.0,8-speed dual clutch,1.4 L/100 km,35 L,6.6 s,235.0,95.0,2021,Hatchback
Mercedes-Benz,CLA,4.0,Turbocharged Gasoline Direct Injection,306.0,5800.0,7-speed dual clutch,7.3 L/100 km,51 L,4.9 s,250.0,95.0,2021,Coupe
Mercedes-Benz,CLA Hybrid,4.0,Turbocharged Gasoline Direct Injection,218.0,5500.0,8-speed dual clutch,1.5 L/100 km,35 L,6.8 s,240.0,95.0,2021,Coupe
Mercedes-Benz,GLA,4.0,Turbocharged Gasoline Direct Injection,306.0,5800.0,8-speed dual clutch,7.5 L/100 km,51 L,4.8 s,250.0,95.0,2021,SUV
Mercedes-Benz,GLA Hybrid,4.0,Turbocharged Gasoline Direct Injection,218.0,5500.0,8-speed dual clutch,1.6 L/100 km,35 L,7.1 s,240.0,95.0,2021,SUV
Mercedes-Benz,EQA,,Battery Electric,190.0,,1-speed direct drive,,66.5 kWh,8.9 s,160.0,,2021,SUV
Mercedes-Benz,B-Class,4.0,Turbocharged Gasoline Direct Injection,224.0,5500.0,7-speed dual clutch,6.2 L/100 km,43 L,6.4 s,250.0,95.0,2021,MPV
Mercedes-Benz,B-Class Hybrid,4.0,Turbocharged Gasoline Direct Injection,218.0,5500.0,8-speed dual clutch,1.6 L/100 km,35 L,6.8 s,235.0,95.0,2021,MPV
Mercedes-Benz,GLB,4.0,Turbocharged Gasoline Direct Injection,306.0,5800.0,8-speed dual clutch,7.6 L/100 km,51 L,5.2 s,250.0,95.0,2021,SUV
Mercedes-Benz,GLB Hybrid,4.0,Turbocharged Gasoline Direct Injection,218.0,5500.0,8-speed dual clutch,1.6 L/100 km,35 L,7.3 s,240.0,95.0,2021,SUV
Mercedes-Benz,EQB,,Battery Electric,292.0,,1-speed direct drive,,66.5 kWh,6.2 s,160.0,,2021,SUV
Mercedes-Benz,C-Class,4.0,Turbocharged Gasoline Direct Injection,258.0,5800.0,9-speed automatic,7.2 L/100 km,59 L,5.7 s,250.0,95.0,2021,Sedan
Mercedes-Benz,C-Class Hybrid,4.0,Turbocharged Gasoline Direct Injection,313.0,5800.0,9-speed automatic,2.1 L/100 km,50 L,5.5 s,250.0,95.0,2021,Sedan
Mercedes-Benz,GLC,4.0,Turbocharged Gasoline Direct Injection,258.0,5800.0,9-speed automatic,8.1 L/100 km,66 L,6.2 s,240.0,95.0,2021,SUV
Mercedes-Benz,GLC Hybrid,4.0,Turbocharged Gasoline Direct Injection,320.0,5500.0,9-speed automatic,2.5 L/100 km,50 L,5.6 s,230.0,95.0,2021,SUV
Mercedes-Benz,EQC,,Battery Electric,408.0,,1-speed direct drive,,80 kWh,5.1 s,180.0,,2021,SUV
Mercedes-Benz,E-Class,6.0,Turbocharged Gasoline Direct Injection,435.0,6100.0,9-speed automatic,8.9 L/100 km,66 L,4.4 s,250.0,95.0,2021,Sedan
Mercedes-Benz,E-Class Hybrid,4.0,Turbocharged Gasoline Direct Injection,320.0,5500.0,9-speed automatic,2.1 L/100 km,50 L,5.7 s,250.0,95.0,2021,Sedan
Mercedes-Benz,GLE,6.0,Turbocharged Gasoline Direct Injection,435.0,6100.0,9-speed automatic,9.4 L/100 km,85 L,5.3 s,250.0,95.0,2021,SUV
Mercedes-Benz,GLE Hybrid,4.0,Turbocharged Gasoline Direct Injection,320.0,5500.0,9-speed automatic,2.1 L/100 km,50 L,5.7 s,210.0,95.0,2021,SUV
Mercedes-Benz,EQE,,Battery Electric,292.0,,1-speed direct drive,,90 kWh,5.6 s,210.0,,2021,Sedan
Mercedes-Benz,EQS,,Battery Electric,385.0,,1-speed direct drive,,107.8 kWh,4.3 s,210.0,,2021,Sedan
Mercedes-Benz,EQS SUV,,Battery Electric,,,,,,,,,2022,SUV
MG,HS,4.0,Turbocharged Gasoline Direct Injection,162,5600.0,7-speed dual clutch,7.3 L/100 km,55 L,9.9 s,190,95.0,2021,SUV
MG,HS Plug-in Hybrid,4.0,Turbocharged Gasoline Direct Injection,258,5500.0,10-speed automatic,1.7 L/100 km,43 L,6.9 s,200,95.0,2021,SUV
MG,ZS,4.0,Turbocharged Gasoline Direct Injection,119,5200.0,4-speed automatic,6.7 L/100 km,45 L,12.4 s,170,95.0,2021,SUV
MG,ZS EV,,Battery Electric,143,,1-speed direct drive,,44.5 kWh,8.2 s,140,,2021,SUV
MG,5 EV,,Battery Electric,156,,1-speed direct drive,,52.5 kWh,7.7 s,185,,2021,Estate
MINI,3-Door Hatch,3.0,Turbocharged Gasoline Direct Injection,136,4500.0,7-speed dual clutch,5.5 L/100 km,40 L,7.9 s,210,95.0,2021,Hatchback
MINI,3-Door Hatch Hybrid,3.0,Turbocharged Gasoline Direct Injection,224,4500.0,6-speed automatic,2.1 L/100 km,36 L,6.8 s,235,95.0,2021,Hatchback
MINI,3-Door Hatch Electric,,Battery Electric,184,,1-speed direct drive,,28.9 kWh,7.3 s,150,,2021,Hatchback
MINI,5-Door Hatch,3.0,Turbocharged Gasoline Direct Injection,136,4500.0,7-speed dual clutch,5.6 L/100 km,40 L,8.2 s,207,95.0,2021,Hatchback
MINI,5-Door Hatch Hybrid,3.0,Turbocharged Gasoline Direct Injection,224,4500.0,6-speed automatic,2.1 L/100 km,36 L,6.9 s,232,95.0,2021,Hatchback
MINI,5-Door Hatch Electric,,Battery Electric,184,,1-speed direct drive,,28.9 kWh,7.4 s,150,,2021,Hatchback
Mitsubishi,ASX,4.0,Turbocharged Gasoline Direct Injection,150,5500.0,Continuously Variable Transmission,7.6 L/100 km,63 L,9.6 s,190,95.0,2021,SUV
Mitsubishi,Eclipse Cross,4.0,Turbocharged Gasoline Direct Injection,163,5500.0,8-speed automatic,7.7 L/100 km,60 L,9.3 s,205,95.0,2021,SUV
Mitsubishi,Outlander,4.0,Gasoline Direct Injection,224,6250.0,Continuously Variable Transmission,7.4 L/100 km,60 L,10.6 s,188,91.0,2021,SUV
Mitsubishi,Outlander PHEV,4.0,Gasoline Direct Injection,224,4500.0,Continuously Variable Transmission,1.9 L/100 km,45 L,10.5 s,170,91.0,2021,SUV
Mitsubishi,i-MiEV,,Battery Electric,66,,1-speed direct drive,,16 kWh,15.9 s,130,,2021,Hatchback
Mitsubishi,eK,3.0,Turbocharged Gasoline Direct Injection,64,6400.0,Continuously Variable Transmission,4.5 L/100 km,30 L,13.5 s,140,91.0,2021,Hatchback
Mitsubishi,eK X,3.0,Turbocharged Gasoline Direct Injection,64,6400.0,Continuously Variable Transmission,4.5 L/100 km,30 L,13.5 s,140,91.0,2021,Hatchback
NETA,Aya,,Electric,70 kW,,Automatic,0.14 kWh,40.7 kWh,9.9 s,150,,2020,Crossover
NETA,U,,Electric,150 kW,,Automatic,0.16 kWh,63 kWh,7.6 s,160,,2019,Compact SUV
NETA,S,,Electric,160 kW,,Automatic,0.18 kWh,70 kWh,6.9 s,200,,2021,Sedan
NETA,GT,,Electric,300 kW,,Automatic,0.2 kWh,93 kWh,3.9 s,260,,2023,Sports car
Nissan,Leaf,,Electric,110 kW,,Automatic,0.18 kWh,40 kWh,7.9 s,144,,2020,Hatchback
